text,sentiment
"Bonjour ! Je suis très content de mon équipe et de notre projet.","Positif"
"L'ambiance de travail chez Segula est vraiment fantastique.","Positif"
"Je tiens à remercier les RH pour leur accueil chaleureux lors de mon onboarding.","Positif"
"Je suis ravi des nouvelles formations proposées cette semaine.","Positif"
"J'ai passé une excellente journée de travail, merci à tous.","Positif"
"C'est un plaisir de collaborer avec des collègues aussi compétents.","Positif"
"Je me sens très motivé ce matin pour commencer le nouveau sprint !","Positif"
"Merci beaucoup pour votre soutien sur ce dossier complexe.","Positif"
"L'entreprise offre de superbes opportunités d'apprentissage.","Positif"
"Mon entretien annuel s'est super bien passé, je suis très heureuse.","Positif"
"Je suis fier des résultats que nous avons obtenus ce trimestre.","Positif"
"Le management est très à l'écoute et c'est vraiment appréciable.","Positif"
"J'aime beaucoup mon travail et les projets sur lesquels j'interviens.","Positif"
"Tout se passe à merveille dans mon département.","Positif"
"Je suis très satisfait des outils de travail mis à notre disposition.","Positif"
"Merci pour cette réponse rapide et ces précisions claires !","Positif"
"Je trouve que l'équilibre vie pro / vie perso est excellent ici.","Positif"
"Super initiative pour l'atelier bien-être, j'ai adoré !","Positif"
"Les nouveaux bureaux sont très agréables et lumineux.","Positif"
"J'apprécie énormément la flexibilité des horaires de travail.","Positif"
"C'est un grand succès pour notre équipe de développement !","Positif"
"Je suis très reconnaissant pour l'aide que vous m'avez apportée.","Positif"
"Je me sens pleinement épanoui dans mes fonctions actuelles.","Positif"
"L'esprit d'équipe au sein du service est formidable.","Positif"
"Je suis enchanté de travailler sur cette nouvelle technologie.","Positif"
"Merci d'avoir validé ma demande si rapidement.","Positif"
"Une très bonne ambiance règne dans l'open space aujourd'hui.","Positif"
"Je suis comblé par les missions qui m'ont été confiées.","Positif"
"C'est une excellente nouvelle pour l'avancement du projet !","Positif"
"Je remercie mon manager pour sa confiance et son autonomie.","Positif"
"Je me sens très valorisé dans mon travail quotidien.","Positif"
"Les projets innovants sur lesquels nous travaillons sont stimulants.","Positif"
"C'est formidable d'avoir un tel soutien de la part de la direction.","Positif"
"Le séminaire d'intégration était fantastique, j'ai fait de belles rencontres.","Positif"
"Les avantages sociaux proposés par l'entreprise sont très appréciables.","Positif"
"Je suis ravi de voir que mes suggestions ont été prises en compte.","Positif"
"L'ambiance décontractée et professionnelle à la fois est un vrai plus.","Positif"
"Je me lève chaque matin avec l'envie de relever de nouveaux défis.","Positif"
"Merci à l'équipe RH pour son écoute et sa bienveillance constante.","Positif"
"Je suis très enthousiaste quant aux perspectives d'avenir de l'entreprise.","Positif"
"C'est un réel plaisir de voir notre projet enfin se concrétiser.","Positif"
"La collaboration transverse entre les équipes se fait très naturellement.","Positif"
"Je suis ravi d'avoir l'opportunité de télétravailler régulièrement.","Positif"
"Les conditions de travail ici sont de loin les meilleures que j'aie eues.","Positif"
"Un grand merci pour la reconnaissance accordée à mon travail.","Positif"
"Je me sens à ma place et soutenu dans mes choix professionnels.","Positif"
"C'est un bonheur de travailler dans un climat de confiance réciproque.","Positif"
"Je suis ravi d'accueillir un nouveau collaborateur dans notre équipe aujourd'hui.","Positif"
"Les sessions de teambuilding renforcent vraiment notre cohésion.","Positif"
"Je repars ce soir avec le sentiment du devoir accompli et le sourire !","Positif"
"Quelle est la procédure exacte pour déclarer mes congés payés ?","Neutre"
"Comment fonctionne le remboursement des frais de transport en commun ?","Neutre"
"Je voudrais savoir à quel moment de l'année se déroule l'entretien professionnel.","Neutre"
"Quelles sont les formations obligatoires pour les nouveaux arrivants ?","Neutre"
"Où puis-je trouver le document sur la charte informatique ?","Neutre"
"Je cherche des informations sur la politique de télétravail chez Segula.","Neutre"
"Pouvez-vous m'indiquer comment modifier mes coordonnées bancaires ?","Neutre"
"Je souhaite contacter un membre de l'équipe des ressources humaines.","Neutre"
"Quel est le délai pour envoyer mon justificatif de transport ce mois-ci ?","Neutre"
"Comment puis-je demander une attestation de travail ?","Neutre"
"Je souhaite planifier mes congés pour le mois d'août prochain.","Neutre"
"Existe-t-il un guide utilisateur pour le portail RH ?","Neutre"
"Comment soumettre une note de frais professionnels ?","Neutre"
"Où est situé le bureau de la médecine du travail ?","Neutre"
"Pouvez-vous m'expliquer le calcul des RTT ?","Neutre"
"Je voudrais modifier mon mot de passe sur la plateforme.","Neutre"
"Quels sont les horaires d'ouverture des bureaux à Tunis ?","Neutre"
"Quels types de contrats sont éligibles à l'aide CIVP ?","Neutre"
"Je souhaiterais avoir une copie de mon contrat de travail.","Neutre"
"Quelles sont les étapes pour déclarer un arrêt maladie ?","Neutre"
